"filename", "language", "go", "Shell Script", "Batch", "Properties", "env", "Protocol Buffers", "Markdown", "Go Module File", "YAML", "Ini", "Go Checksum File", "JSON", "Makefile", "Ignore", "NGINX Conf", "Database", "comment", "blank", "total"
"d:\tmp\Open-IM-Server\cmd\rpc\open_im_msg\main.go", "go", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"d:\tmp\Open-IM-Server\cmd\rpc\open_im_office\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 8, 24
"d:\tmp\Open-IM-Server\cmd\rpc\open_im_office\main.go", "go", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"d:\tmp\Open-IM-Server\cmd\rpc\open_im_organization\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 10, 26
"d:\tmp\Open-IM-Server\cmd\rpc\open_im_organization\main.go", "go", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"d:\tmp\Open-IM-Server\cmd\rpc\open_im_user\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 10, 26
"d:\tmp\Open-IM-Server\cmd\rpc\open_im_user\main.go", "go", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"d:\tmp\Open-IM-Server\cmd\test\main.go", "go", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 70
"d:\tmp\Open-IM-Server\config\config.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 663, 0, 0, 0, 0, 0, 0, 0, 53, 78, 794
"d:\tmp\Open-IM-Server\config\open-im-ng-example.conf", "NGINX Conf", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 197, 0, 0, 9, 206
"d:\tmp\Open-IM-Server\config\usualConfig.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 11, 44
"d:\tmp\Open-IM-Server\deploy\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 2, 6
"d:\tmp\Open-IM-Server\deploy\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 24, 30, 159
"d:\tmp\Open-IM-Server\deploy\config.example.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 15, 27, 184
"d:\tmp\Open-IM-Server\deploy\env.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 16, 9, 102
"d:\tmp\Open-IM-Server\deploy\openim.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 61, 11, 223
"d:\tmp\Open-IM-Server\deploy\readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30
"d:\tmp\Open-IM-Server\deploy_k8s\admin_cms\deployment.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 2, 44
"d:\tmp\Open-IM-Server\deploy_k8s\api\deployment.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 0, 56
"d:\tmp\Open-IM-Server\deploy_k8s\auth\deployment.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 0, 42
